[4.08s -> 6.08s]  Чего желаете, братан?
[3481.21s -> 3487.21s]  Но вот, что-то своё, у вас же у каждого соляги свои есть, у тебя сольный альбом, я знаю, готовится.
[3488.21s -> 3490.21s]  Под клавишей гипноз не споёшь?
[3490.21s -> 3494.21s]  Ну, гипноз нет, давай я спою, а конверт пил я.
[3494.21s -> 3495.21s]  Да ладно!
[3495.21s -> 3497.21s]  А давайте приколимся, конверт просто спеть.
[3497.21s -> 3498.21s]  Это из нового альбома.
[3498.21s -> 3499.21s]  А вы поржёте.
[3499.21s -> 3508.12s]  Давай так, первый куплет и припев поёшь ты, а потом я вступлю, ладно?
[3508.12s -> 3513.12s]  Я просил чё-нибудь авторское, но всё равно из города 312. А, вы же пишите, да.
[3513.12s -> 3519.12s]  Всё у тебя в руках, реки и берега.
[3519.12s -> 3526.12s]  Но почему твоей дороги не отыскать пока?
[3526.12s -> 3533.12s]  Кто бы мне подсказал, как посмотреть в глаза,
[3533.12s -> 3540.12s]  Чтобы найти и открыть ворота прямо на небеса?
[3540.12s -> 3544.12s]  Прямо на небеса!
[3544.12s -> 3551.12s]  Я отправлю пустой конверт случайным колублям,
[3551.12s -> 3558.12s]  Буду верить, что возвратиться он переполненным.
[3558.12s -> 3565.12s]  И останусь наедине со своей молитвою,
[3565.12s -> 3572.12s]  Расскажу, как я, что я без тебя испытываю,
[3572.12s -> 3577.12s]  Испытываю.
[3577.12s -> 3589.21s]  Мир, что во мне разбит, это большой пукнет.
[3589.21s -> 3595.21s]  Знаю в одном с тобою ритме сердце моё стучит,
[3595.21s -> 3602.21s]  Что сужденного век не перескажет снег.
[3602.21s -> 3608.21s]  Рядом с тобой хочу остаться просто наедине,
[3608.21s -> 3613.21s]  Просто наедине.
[3613.21s -> 3620.21s]  Я отправлю пустой конверт случайным колублям,
[3620.21s -> 3627.21s]  Буду верить, что возвратиться он переполненным.
[3627.21s -> 3633.21s]  И останусь наедине со своей молитвою,
[3633.21s -> 3640.21s]  Расскажу, как я, что я без тебя испытываю,
[3640.21s -> 3657.68s]  Испытываю.
[3657.68s -> 3660.68s]  Класс!
[3660.68s -> 3663.68s]  Олег, Олег, ну спойте с ними двое.
[3663.68s -> 3665.68s]  Они так хорошо поют.
[3670.27s -> 3678.27s]  За существование группы «20 лет» вы написали уже свой главный хит или он ещё впереди?
[3678.27s -> 3680.27s]  Мы вместе скажем.
[3680.27s -> 3682.27s]  Нет!
[3682.27s -> 3685.27s]  Настоящий творческий ответ.
[3685.27s -> 3689.27s]  Это было «Шоу Музлофт», у нас сегодня в гостях была группа «Город 312».
[3689.27s -> 3691.27s]  И в завершение наших музыкальных поседела.
[3691.27s -> 3693.27s]  Гатя, что споём? Какую песню?
[3693.27s -> 3694.27s]  Скажите.
[3694.27s -> 3696.27s]  В прошлой программе мы с тобой пели «Останусь».
[3696.27s -> 3698.27s]  А сейчас мы споём?
[3698.27s -> 3699.27s]  Давайте другую какую-нибудь.
[3699.27s -> 3700.27s]  «Обернись».
[3700.27s -> 3701.27s]  Ну обернись. Её хотя бы знают.
[3701.27s -> 3706.27s]  В караоке, между прочим, она держит первое место среди песен из репертуара «Города 312».
[3706.27s -> 3707.27s]  Статистика такая есть.
[3707.27s -> 3708.27s]  А, да?
[3708.27s -> 3709.27s]  Да, конечно.
[3709.27s -> 3713.90s]  Мы поём вместе.
[3713.90s -> 3727.34s]  Шумные улицы, тесные города,
[3727.34s -> 3729.34s]  Воздух заряженный дымом,
[3729.34s -> 3733.34s]  Небо обуглится, скроются в некуда,
[3733.34s -> 3736.34s]  Люди, бегущие мимо,
[3736.34s -> 3739.34s]  Ты не услышишь крика помощью,
[3739.34s -> 3742.34s]  Реден в большой цене.
[3742.34s -> 3748.34s]  Стены огней сдавят виски сильней.
[3748.34s -> 3753.34s]  Обернись, мне не встать без твоей руки,
[3753.34s -> 3756.34s]  Не услышать биение сердца,
[3757.34s -> 3766.05s]  Мне не встать без твоей руки,
[3766.05s -> 3771.05s]  На холодных ветрах не согреться.
[3783.88s -> 3792.16s]  По осени, значит, уже зима,
[3792.16s -> 3795.16s]  Может, никто не заметил,
[3795.16s -> 3799.16s]  Гладко причесанный город сошёл с ума,
[3799.16s -> 3801.16s]  Стал самым скользким на свете,
[3801.16s -> 3804.16s]  Ты не услышишь крика помощи,
[3804.16s -> 3807.16s]  Реден в большой цене.
[3807.16s -> 3812.16s]  Стены огней сдавят виски сильней.
[3812.16s -> 3813.16s]  Можно вместе?
[3813.16s -> 3818.16s]  Обернись, мне не встать без твоей руки,
[3818.16s -> 3822.16s]  Не услышать биение сердца,
[3825.16s -> 3831.33s]  Мне не встать без твоей руки,
[3832.33s -> 3836.33s]  На холодных ветрах не согреться.
[3859.83s -> 3865.83s]  Стены огней сдавят виски сильней.
[3865.83s -> 3870.83s]  Обернись, мне не встать без твоей руки,
[3870.83s -> 3874.83s]  Не услышать биение сердца,
[3878.66s -> 3893.94s]  Мне не встать без твоей руки,
[3893.94s -> 3895.94s]  Мне не встать без твоей руки.
[3895.94s -> 3897.94s]  Ещё раз!
[3897.94s -> 3901.94s]  Обернись, мне не встать без твоей руки,
[3901.94s -> 3903.94s]  Ещё раз!
[3934.26s -> 3937.26s]  Ая, Дима, группа «Город 312».
[3937.26s -> 3942.02s]  312 сегодня были гостями шоу Muzzloft. Я Стас Яружин, это Muzzloft Band.
[3942.02s -> 3947.54s]  Увидимся с вами сам всем скоро и слушайте только хорошую музыку. Пока!
