[0.43s -> 14.64s]  Добро пожаловать на шоу-аукцион!
[2162.98s -> 2164.98s]  Там еще кулон. Вы все забываете про кулон.
[2164.98s -> 2166.98s]  И кулон, точно.
[2166.98s -> 2168.98s]  Но с кулоном будешь классно смотреться.
[2168.98s -> 2170.98s]  Лысая.
[2170.98s -> 2172.98s]  Лика в течение трех минут
[2172.98s -> 2174.98s]  на самой максимальной скорости
[2174.98s -> 2176.98s]  крутится у нас на нашей машине смерти.
[2176.98s -> 2178.98s]  Секундомер готов.
[2178.98s -> 2180.98s]  Три минуты начинают свой отсчет.
[2180.98s -> 2182.98s]  Под ваши аплодисменты я прошу
[2182.98s -> 2184.98s]  приступить к выполнению ставки.
[2184.98s -> 2186.98s]  Поехали!
[2188.98s -> 2190.98s]  Я напоминаю, друзья,
[2190.98s -> 2192.98s]  что Лика крутится с максимальной
[2192.98s -> 2194.98s]  скоростью. Ну понеслась.
[2194.98s -> 2196.98s]  Сама этого хотела. Действительно.
[2196.98s -> 2198.98s]  Да.
[2198.98s -> 2200.98s]  А прошло всего лишь
[2200.98s -> 2202.98s]  15 секунд.
[2202.98s -> 2204.98s]  Ты как? Нормально?
[2204.98s -> 2206.98s]  Нормально все. Давай.
[2206.98s -> 2208.98s]  Хорошо.
[2208.98s -> 2210.98s]  Вот. А ты думала
[2210.98s -> 2212.98s]  Гагарину легко было?
[2212.98s -> 2214.98s]  Боже мой.
[2214.98s -> 2220.98s]  Отлично.
[2220.98s -> 2222.98s]  35 секунд, друзья.
[2222.98s -> 2224.98s]  35 секунд, Лика.
[2224.98s -> 2226.98s]  38, 39, 40.
[2226.98s -> 2228.98s]  Как дела? Нормально все?
[2228.98s -> 2230.98s]  Молодец. Ты хорошо держишься.
[2232.98s -> 2234.98s]  Просто жесть.
[2234.98s -> 2236.98s]  Вроде с волосами все нормально.
[2236.98s -> 2238.98s]  Нигде пока не зацепились. Все хорошо.
[2238.98s -> 2240.98s]  Ну и слава богу.
[2240.98s -> 2242.98s]  Это, знаешь, такие просто
[2242.98s -> 2244.98s]  домашние аттракции.
[2244.98s -> 2246.98s]  Наконец-то пошла движуха.
[2252.98s -> 2254.98s]  Вот она понеслась.
[2254.98s -> 2256.98s]  Ты жива?
[2256.98s -> 2260.68s]  Ешкин кот.
[2260.68s -> 2262.68s]  Все, мне уже тошнит.
[2262.68s -> 2264.68s]  Остаются считанные секунды
[2264.68s -> 2266.68s]  до вручения
[2266.68s -> 2268.68s]  самого лучшего приза.
[2268.68s -> 2270.68s]  Номера 5 Лики. Я не знаю.
[2270.68s -> 2272.68s]  Каждый бы уже готов был на это. Я сомневаюсь.
[2272.68s -> 2274.68s]  Очень сильно сомневаюсь.
[2274.68s -> 2276.68s]  Это племянница
[2276.68s -> 2278.68s]  Илона Масковича.
[2278.68s -> 2280.68s]  Я подумал, что
[2280.68s -> 2282.68s]  просто...
[2282.68s -> 2284.68s]  Почти.
[2284.68s -> 2286.68s]  А ты ела?
[2286.68s -> 2288.68s]  У нас тут червей раздавали.
[2292.68s -> 2294.68s]  О май гаш. Итак.
[2294.68s -> 2296.68s]  Друзья, я начинаю обратный отчет.
[2296.68s -> 2298.68s]  10
[2298.68s -> 2300.68s]  9
[2300.68s -> 2302.68s]  8
[2302.68s -> 2304.68s]  7
[2304.68s -> 2306.68s]  6
[2306.68s -> 2308.68s]  5
[2308.68s -> 2310.68s]  4
[2310.68s -> 2312.68s]  3
[2312.68s -> 2314.68s]  2
[2314.68s -> 2316.68s]  1
[2316.68s -> 2318.68s]  Стоп!
[2318.68s -> 2320.68s]  Друзья, это чемпион!
[2320.68s -> 2322.68s]  Чемпион, дамы и господа!
[2322.68s -> 2324.68s]  Это невероятно!
[2324.68s -> 2326.68s]  Лично Юлия Топольницкая!
[2326.68s -> 2328.68s]  Друзья, еще раз бурные аплодисменты!
[2328.68s -> 2330.68s]  Лики!
[2330.68s -> 2332.68s]  Да-да-да-да-да!
[2332.68s -> 2334.68s]  Ребята, Лика!
[2334.68s -> 2336.68s]  Лика, расскажи, пожалуйста, какие
[2336.68s -> 2338.68s]  ваши ощущения?
[2338.68s -> 2340.68s]  На самом деле, это очень интересно.
[2340.68s -> 2342.68s]  На аттракционе весело.
[2342.68s -> 2344.68s]  Нет, ну было, конечно, момент, когда страшно.
[2344.68s -> 2346.68s]  С вас, кстати, 350 рублей, да.
[2346.68s -> 2348.68s]  Как ни странно, я могу заметить, что это качает ноги.
[2348.68s -> 2350.68s]  Потому что, когда ноги начинают
[2350.68s -> 2352.68s]  под силой тяжести
[2352.68s -> 2354.68s]  подниматься наверх,
[2354.68s -> 2356.68s]  вот эта вот фигня, она больная.
[2356.68s -> 2358.68s]  Она больно давит.
[2358.68s -> 2360.68s]  И я стараюсь их давить вниз.
[2360.68s -> 2362.68s]  И я постоянно была в напряжении вот этих вот
[2362.68s -> 2364.68s]  мышц ног, получается.
[2364.68s -> 2366.68s]  А я всегда говорил, что шоу-аукцион
[2366.68s -> 2368.68s]  не только полезное, но и полезное
[2368.68s -> 2370.68s]  два раза. Итак, Юля Николаевна,
[2370.68s -> 2372.68s]  вручите, пожалуйста,
[2372.68s -> 2374.68s]  Лике этот подарочек.
[2374.68s -> 2376.68s]  Ну что ж,
[2376.68s -> 2378.68s]  леди и джентльмены,
[2378.68s -> 2380.68s]  дамы и господа, Лика
[2380.68s -> 2382.68s]  я желаю счастливым обладателям
[2382.68s -> 2384.68s]  невероятной книги, а также
[2384.68s -> 2386.68s]  кулона, который приносит удачу,
[2386.68s -> 2388.68s]  удачу и много-много удачи.
[2388.68s -> 2392.70s]  Лика, приходи, пожалуйста, к нам сюда.
[2392.70s -> 2394.70s]  Это был шоу-аукцион,
[2394.70s -> 2396.70s]  дамы и господа.
[2396.70s -> 2398.70s]  Если вы хотите, чтобы на этом месте оказался кто-то
[2398.70s -> 2400.70s]  из ваших любимых звезд,
[2400.70s -> 2402.70s]  напишите, пожалуйста, это у нас в комментариях.
[2402.70s -> 2404.70s]  Также, если ты не подписан,
[2404.70s -> 2406.70s]  ты можешь делать это именно сейчас.
[2406.70s -> 2408.70s]  Подписался? Красавчик.
[2408.70s -> 2410.70s]  С вами был Игорь Чехов, шоу-аукцион,
[2410.70s -> 2412.70s]  Юля Допольницкая.
[2412.70s -> 2414.70s]  Ваши аплодисменты.
[2414.70s -> 2416.70s]  Спасибо большое, друзья.
[2416.70s -> 2418.70s]  Это шоу-аукцион.
