[0.00s -> 2.00s]  Хо-хо! Роналд Уизме!
[4185.23s -> 4201.23s]  Ну, я бы хотел жить в социуме, гулять, как бы жить нормальной жизнью, и я понимаю, что те люди, у которых какая-то вот супер-сверх-топовая популярность, мне кажется, они не могут такое себе просто позволить.
[4201.23s -> 4209.23s]  Ну, подожди, стоп, ты, причём тут музыка и популярность, ты всё равно медийный, тебя узнают на улицах, тебя знают, у тебя яркая внешность.
[4209.23s -> 4217.23s]  Ну, если, например, проект прямо супер, какой-то вот прямо топ-чарт, это, ну, не знаю.
[4217.23s -> 4219.23s]  Но не писать же хиты из-за этого только.
[4219.23s -> 4220.23s]  Не, не, писать.
[4220.23s -> 4227.23s]  Не, почему? Писать, естественно, но работать на определённую аудиторию, которая мне нравится и мне близко, вот это мне хочется.
[4227.23s -> 4233.23s]  То есть, естественно, хочется расти, и ты не прав на самом деле, что такая музыка не популярна.
[4234.23s -> 4239.23s]  Ну, те, кто послушал оригинал, понимают, о чём речь идёт в плане жанра.
[4239.23s -> 4243.23s]  То есть, там, ну, это многие песни, они вообще ближе к металлу и поз-хардкору.
[4243.23s -> 4247.23s]  То есть, там, ну, это альтернативный металл, если так прямо обобщить.
[4247.23s -> 4254.23s]  Я говорил-то в тему, что это некоммерческая музыка, которую нас привыкли писать и привыкли делать, я об этом говорю.
[4254.23s -> 4262.23s]  Я думаю, что есть очень много наших ребят, команд, которые собирают, ну, они очень давно уже играют,
[4262.23s -> 4265.23s]  и они собирают, ну, условно, Главклаб.
[4265.23s -> 4272.23s]  Это, ну, это большой, то есть, это прямо огромная аудитория людей, которые любят такую музыку.
[4272.23s -> 4276.23s]  То есть, они есть, и они мне близки по духу.
[4276.23s -> 4281.23s]  Вот, а если делать что-то ещё, что-то более майнстримовое...
[4281.23s -> 4283.23s]  Попсовое ты не будешь делать, по-любому.
[4283.23s -> 4290.23s]  У меня была идея для сайт-проекта, но это именно, вот, абсолютно сайт-проект никак не связанный с Молти Вёрс.
[4290.23s -> 4292.23s]  Пока это всё тайно.
[4292.23s -> 4299.23s]  Вот, и, ну, естественно, это даже если будет что-то более майнстримовое, это будет всё равно что-то годное.
[4299.23s -> 4307.23s]  Просто найти какой-то вот баланс между того, чтобы это легко слушалось, и чтобы это было реально круто.
[4307.23s -> 4312.23s]  А вы с ребятами выступали на разогреве у группы Limbisket, это так?
[4312.23s -> 4314.23s]  Да, мы ещё и...
[4314.23s -> 4320.23s]  Ну, кстати, если про разогревы говорить, то вот крутой разогрев, реально, где вообще класс.
[4320.23s -> 4322.23s]  Это была группа Askin' Alexandria.
[4322.23s -> 4328.23s]  Мы с ними тур приехали маленький, небольшой, по России, и там нас приняли просто на УРА.
[4328.23s -> 4332.23s]  А с Limbisket это было... это было крещение просто, вот, реально.
[4332.23s -> 4334.23s]  Это страшно было, да?
[4334.23s -> 4336.23s]  Хочешь, расскажу? Это жесть было.
[4336.23s -> 4343.23s]  Это было, наверное, ранняя стадия нашей группы, и у нас ещё не были написаны самые какие-то жёсткие треки.
[4343.23s -> 4348.23s]  Потому что позже появился, например, To Stay, где прямо, ну, такой металл, драйвовый трек.
[4348.23s -> 4355.23s]  И мы даже один трек специально написали, успели там буквально за неделю написали для разогрева Limbisket.
[4355.23s -> 4362.23s]  Потому что мы такие, блин, у нас есть One Shot, и там ещё пару песен, ну, блин, они вроде все прикольные, это рок,
[4362.23s -> 4366.23s]  но это не та мазафака, которая, как бы, на Limbisket будет заходить.
[4366.23s -> 4372.23s]  Мы написали там пару жёстких треков, где, как бы, можно хотя бы Scream использовать там и так далее.
[4372.23s -> 4373.23s]  Вот.
[4373.23s -> 4378.23s]  Для нас стало сюрпризом то, что был ещё один разогрев, и мы были не первыми.
[4378.23s -> 4384.23s]  То есть вышла группа, разогрела, её как-то приняли, типа, хэ-хэ, классно, группа какая-то разогревает.
[4384.23s -> 4389.23s]  Они отыграли, уходят, и тут все народ такой, типа, сейчас выйдет Limbisket.
[4389.23s -> 4393.23s]  Вместо этого выходит показ, вот, Маша Цигаль.
[4393.23s -> 4395.23s]  Все стоят вот такие просто в шоке.
[4395.23s -> 4401.23s]  Короче, да, ладно, цензурим, но все поймутся, все кричат нафиг, нафиг, нафиг.
[4401.23s -> 4403.23s]  Нельзя сказать это слово, ребят, простите.
[4403.23s -> 4411.23s]  И тут они уже, получается, народ прогнал вот этих всех моделей, и мы стоим за сценой, такие, типа, да.
[4411.23s -> 4413.23s]  Наша очередь выходить.
[4414.23s -> 4416.23s]  Мы выходим, нам не дают просто подключаться.
[4416.23s -> 4424.23s]  То есть мы пока там ребята подключают гитары, пока вот этот вот процесс заходит, уже летят все возможные там кроссовки, бутылки, монеты.
[4424.23s -> 4429.23s]  Просто всё, все орут. Такое ощущение, что сейчас эта толпа на сцену заберётся, и просто нас начнут...
[4429.23s -> 4432.23s]  И тут ещё выходит Ron Weasley, представляешь?
[4432.23s -> 4436.23s]  И тут выходит ещё Ron... Не, я кепку надел специально, на всякий случай.
[4436.23s -> 4444.23s]  И тут, и тут наш звукорежиссёр каким-то боком, на самый вот этот важный момент, он был...
[4446.23s -> 4447.23s]  Странно.
[4449.23s -> 4450.23s]  Странно, почему звукорежиссёр.
[4450.23s -> 4451.23s]  Важный момент.
[4451.23s -> 4454.23s]  Да, это какая-то тема звукорей, реально.
[4454.23s -> 4460.23s]  Во-первых, он сбил все настройки, потом он начал резко громче вокал делать, тише вокал.
[4460.23s -> 4465.23s]  Там всё вот так вот, не знаю, такое ощущение, что он вот так вот рулил, рукоятку брал просто такой.
[4465.23s -> 4470.23s]  Ноль, плюс шесть, просто всё туда начинает крутить.
[4470.23s -> 4474.23s]  И мы ещё и звучали ужасно из-за этого.
[4474.23s -> 4485.23s]  И благо там под конец на оставшиеся две песни звук ещё нарулился, и как-то более-менее мы что-то сыграли, и какой-то даже части аудитории понравилось.
[4485.23s -> 4491.23s]  Поскольку ещё это был первый день Лимбиска, естественно там процентов 60 все в щи, в хлам были.
[4491.23s -> 4498.23s]  И для них это был просто, наверное, какой-то апокалипсис в плане нашего вот этого не настроенного ужасного звука.
[4498.23s -> 4502.23s]  Я помню, как я выворачиваюсь от какой-то бутылки, она просто как нео.
[4502.23s -> 4503.23s]  Как в матрице, да.
[4503.23s -> 4504.23s]  Да.
[4504.23s -> 4505.23s]  Как в шуматрице.
[4505.23s -> 4515.23s]  Я в школе все стены испачкал ногами, потому что я старался бегать как можно больше шагов.
[4515.23s -> 4518.23s]  Я научился выворачиваться от пуль.
[4518.23s -> 4520.23s]  Могу показать.
[4520.23s -> 4521.23s]  Сейчас завершение покажу.
[4521.23s -> 4524.23s]  Не-не-не, в плане именно делать, и в итоге ты встаёшь на мостик.
[4524.23s -> 4530.23s]  То есть вот это всё движение, здесь я всё это учил, я прям болел этим.
[4530.23s -> 4536.23s]  И да, это в итоге помогло, потому что я действительно ворачиваюсь красиво от этой бутылочки.
[4536.23s -> 4538.23s]  Она летит в барабанчика.
[4538.23s -> 4540.23s]  И я слышал, как просто...
[4540.23s -> 4544.23s]  Я поворачиваюсь, у него один глаз закрыт, и он всё равно продолжает играть.
[4544.23s -> 4546.23s]  Блин, короче...
[4546.23s -> 4548.23s]  Просто один глаз закрыт.
[4548.23s -> 4549.23s]  Всегда хочу.
[4549.23s -> 4551.23s]  Это была люч.
[4551.23s -> 4553.23s]  Ну вы выступили круто.
[4553.23s -> 4554.23s]  Ну в итоге да.
[4554.23s -> 4557.23s]  А с Лимбиской-то познакомились, пацаны что вам сказали?
[4557.23s -> 4562.23s]  С Фред Дарстом мы и до этого посидели...
[4562.23s -> 4564.23s]  В стри-кубе?
[4564.23s -> 4565.23s]  В стри-кубе.
[4565.23s -> 4566.23s]  Встретились.
[4566.23s -> 4568.23s]  У него был ещё и день рождения.
[4568.23s -> 4572.23s]  И я помню, он позвал как раз организаторов концерта.
[4572.23s -> 4576.23s]  Вот, и организаторы меня туда тоже вкнули.
[4576.23s -> 4578.23s]  Он узнал, что мы вообще...
[4578.23s -> 4580.23s]  Вообще как этот концерт получился.
[4580.23s -> 4583.23s]  Он когда зарегистрировался только в ВКонтакте, ему можно было написать.
[4583.23s -> 4585.23s]  Я ему написал, скинул группу, и он ответил.
[4586.23s -> 4588.23s]  Молодец, чувак, продолжай в том ждухе.
[4588.23s -> 4591.23s]  И в итоге, когда они уже приехали,
[4591.23s -> 4594.23s]  удочку уже через организатор закинули.
[4594.23s -> 4597.23s]  Он говорит, ты вот, возможно, этого парня уже знаешь.
[4597.23s -> 4602.23s]  Он такой раз посмотрел, а, да, прикольная история.
[4602.23s -> 4607.23s]  В итоге туда и договорились до разогрева.
[4607.23s -> 4609.23s]  И встретились с ним.
[4609.23s -> 4612.23s]  Я с ним виски накатил разочью.
[4612.23s -> 4618.23s]  Я помню, у него было день рождения в каком-то баре.
[4618.23s -> 4621.23s]  Это гостиница Пекину, там, на верхнем этаже.
[4621.23s -> 4623.23s]  Там какой-то бар такой.
[4623.23s -> 4626.23s]  Он там в уголочке сидел.
[4626.23s -> 4627.23s]  И накатывал виски.
[4627.23s -> 4629.23s]  Нет, естественно, там охрана.
[4629.23s -> 4630.23s]  Вот я такой, прихожу к...
[4630.23s -> 4631.23s]  Хай, Фрэд!
[4631.23s -> 4633.23s]  Он такой, типа...
[4633.23s -> 4635.23s]  Тот самый!
[4635.23s -> 4638.23s]  И он привез какую-то свою токилу.
[4638.23s -> 4639.23s]  Какую-то особую токилу.
[4639.23s -> 4641.23s]  Мы попили с ним токилу.
[4641.23s -> 4642.23s]  Он такой...
[4642.23s -> 4643.23s]  Поговорили, прикольно.
[4643.23s -> 4645.23s]  Там и девочки всякие были.
[4645.23s -> 4647.23s]  И он как бы очень отвлекался.
[4647.23s -> 4649.23s]  Да, это сестры родные.
[4649.23s -> 4650.23s]  По-любому.
[4650.23s -> 4653.74s]  Мужик он клевый.
[4653.74s -> 4658.93s]  Реально.
[4658.93s -> 4662.93s]  Я хочу сказать тебе огромное спасибо, что ты сегодня пришел.
[4662.93s -> 4664.93s]  Мне было приятно с тобой познакомиться.
[4664.93s -> 4665.93s]  Мы с Никитой не были знакомы.
[4665.93s -> 4667.93s]  Так просто заочно.
[4667.93s -> 4670.93s]  Заочно нас познакомили наши подписчики.
[4670.93s -> 4672.93s]  Это ребята вообще круто.
[4672.93s -> 4675.93s]  Наши писали ему, его писали нам.
[4675.93s -> 4676.93s]  Спасибо.
[4676.93s -> 4677.93s]  Ты очень крутой.
[4677.93s -> 4678.93s]  Блин, двигайся дальше.
[4678.93s -> 4679.93s]  Пофиг.
[4679.93s -> 4681.93s]  Не смотри, не читай комментарии.
[4681.93s -> 4682.93s]  Не отвечаем.
[4682.93s -> 4683.93s]  Все, не буду.
[4683.93s -> 4684.93s]  Вообще не надо.
[4684.93s -> 4685.93s]  Не надо этого делать.
[4685.93s -> 4687.93s]  У меня в завершение наших музыкальных посиделок
[4687.93s -> 4688.93s]  вот такой к тебе вопрос.
[4688.93s -> 4692.93s]  На что бы ты мог поменять свой талант?
[4692.93s -> 4696.93s]  На суперспособность телепортироваться.
[4696.93s -> 4697.93s]  А телепортироваться?
[4697.93s -> 4698.93s]  Либо...
[4698.93s -> 4700.93s]  Короче, если я нео бы стал.
[4700.93s -> 4701.93s]  Вот как нео.
[4701.93s -> 4702.93s]  Битая, там, бремзем и *****.
[4702.93s -> 4704.93s]  Вот какие-нибудь такие.
[4704.93s -> 4706.93s]  Короче, я теперь, когда буду смотреть фильм «Матрица»,
[4706.93s -> 4708.93s]  который любит моя жена Аленка,
[4708.93s -> 4710.93s]  я буду представлять, что...
[4710.93s -> 4713.93s]  Я буду думать о Никите Преснякове в любом случае.
[4713.93s -> 4715.93s]  А ш матрицу когда будет смотреть?
[4715.93s -> 4716.93s]  Ш матрица!
[4716.93s -> 4718.93s]  И то, если бы я бы стал нео,
[4718.93s -> 4721.93s]  я бы взломал бы систему и нашел бы способ
[4721.93s -> 4723.93s]  все равно как развить этот талант обратно.
[4723.93s -> 4724.93s]  Ни хрена.
[4724.93s -> 4727.93s]  А нет, в моем контракте нет, так не прописано.
[4727.93s -> 4730.93s]  Все, поэтому либо нео, либо поешь хорошо.
[4730.93s -> 4731.93s]  Либо ты очень талантливый.
[4731.93s -> 4733.93s]  Ладно, тогда музыка.
[4733.93s -> 4735.93s]  Давай что-нибудь споем в конце.
[4735.93s -> 4736.93s]  Финально.
[4736.93s -> 4737.93s]  Финально.
[4737.93s -> 4739.93s]  Давайте какой-нибудь кавер, может быть, или что?
[4739.93s -> 4741.93s]  У нас есть реально крутая фишка.
[4741.93s -> 4743.93s]  Мы с группой писали, короче,
[4743.93s -> 4745.93s]  тему главную для сериала «Триггер».
[4745.93s -> 4747.93s]  Классный сериал, на самом деле.
[4747.93s -> 4749.93s]  Я смотрел несколько серий, да.
[4749.93s -> 4751.93s]  Могу сказать, классный сериал.
[4751.93s -> 4752.93s]  Триггер.
[4752.93s -> 4753.93s]  Очень интересно.
[4753.93s -> 4754.93s]  Какая-то своя такая идея.
[4754.93s -> 4756.93s]  Даже аналога такого вроде нет.
[4756.93s -> 4757.93s]  Ну, обычная.
[4757.93s -> 4759.93s]  Я благодаря Костолецкому первым сезоном смотрел.
[4759.93s -> 4762.93s]  Как аналог, но это прям своя вот история.
[4762.93s -> 4764.93s]  Мы писали вступительную тему.
[4764.93s -> 4768.93s]  И сейчас, кстати, пишем с гитаристом из Multiverse.
[4768.93s -> 4770.93s]  Но он уже у нас не играет,
[4770.93s -> 4772.93s]  но мы все равно в хороших отношениях с ним.
[4772.93s -> 4775.93s]  И мы вот вместе работаем сейчас над
[4775.93s -> 4777.93s]  полнометражным фильмом «Триггер»,
[4777.93s -> 4779.93s]  как сантрек ко всему фильму уже пишем.
[4779.93s -> 4781.93s]  То есть прямо на весь фильм.
[4781.93s -> 4783.93s]  И помимо песен и темы.
[4783.93s -> 4786.93s]  Поэтому сыграем, ребят, every time.
[4786.93s -> 4789.93s]  Это заглавная вступительная тема
[4789.93s -> 4791.93s]  сериала «Триггер».
[4792.93s -> 4821.49s]  Понеслась!
[4980.32s -> 4981.32s]  Все, я могу говорить?
[4981.32s -> 4982.32s]  Да.
[4982.32s -> 4983.32s]  Под класс.
[4983.32s -> 4984.32s]  Ну и все.
[4984.32s -> 4986.32s]  А вы можете еще что-нибудь сыграть такое,
[4986.32s -> 4989.32s]  чтобы я на это сказал финальную кою?
[4989.32s -> 4991.32s]  Вот, отлично.
[4991.32s -> 4993.32s]  Друзья мои, это был шоу «Музлофт»
[4993.32s -> 4995.32s]  с Никитой Пресниковым.
[4995.32s -> 4997.32s]  Это было потрясающе.
[4997.32s -> 4999.32s]  Подписывайтесь на наш канал.
[4999.32s -> 5003.32s]  Подпитывайтесь от канала Никита Пресникова
[5003.32s -> 5004.32s]  на его же канал.
[5004.32s -> 5005.32s]  Подписывайтесь.
[5005.32s -> 5008.32s]  В общем, спасибо, что вы нас смотрите.
[5009.32s -> 5011.32s]  И что-то я еще хотел сказать,
[5011.32s -> 5012.32s]  и я забыл.
[5012.32s -> 5014.32s]  А сейчас я сейчас подведу,
[5014.32s -> 5015.32s]  и вы еще споете.
[5015.32s -> 5016.32s]  Дайте я еще скажу.
[5016.32s -> 5018.32s]  Друзья мои, это был шоу «Музлофт».
[5018.32s -> 5019.32s]  Спасибо, что нас смотрите.
[5019.32s -> 5020.32s]  Подписывайтесь на нас.
[5020.32s -> 5023.32s]  Подписывайтесь на все каналы Никиты Пресникова.
[5023.32s -> 5026.32s]  И слушайте только хорошую музыку.
[5026.32s -> 5028.32s]  Увидимся совсем скоро.
[5028.32s -> 5030.32s]  Спасибо, что вы с нами.
[5030.32s -> 5031.32s]  Давай!
[5031.32s -> 5032.32s]  Еще!
[5032.32s -> 5033.32s]  Давай!
[5038.32s -> 5061.95s]  Every time!
[5061.95s -> 5063.95s]  Every time!
[5063.95s -> 5064.95s]  Старина, ты крутой.
[5064.95s -> 5065.95s]  Спасибо тебе огромное.
[5065.95s -> 5066.95s]  Спасибо.
[5066.95s -> 5067.95s]  Пацаны.
[5067.95s -> 5068.95s]  Спасибо.
[5068.95s -> 5069.95s]  Пацаны и Леночка.
[5069.95s -> 5070.95s]  Спасибо огромное.
[5070.95s -> 5071.95s]  Спасибо, что пришел.
[5071.95s -> 5072.95s]  Ждем тебя еще.
[5072.95s -> 5074.95s]  Если у тебя будет желание, приходи.
[5074.95s -> 5075.95s]  Обязательно.
