[3.82s -> 54.97s]  Друзья, всем добрый вечер!
[2803.46s -> 2810.46s]  Оставали ожидания, звёзды падая на землю.
[2810.46s -> 2817.46s]  Я надеюсь, ты нарушишь тишину моей вселенной.
[2817.46s -> 2828.30s]  Облака из звёздных пыли, мысли во вспоминаниях.
[2828.30s -> 2831.30s]  Я прихожу в сознание.
[2831.30s -> 2845.30s]  Я надеюсь, что когда-то ты узнаешь, где я.
[2845.30s -> 2852.30s]  И обнажь ты всё, что я дам.
[2852.30s -> 2858.30s]  Пусти себя в тебя.
[2858.30s -> 2900.04s]  Я надеюсь, ты узнаешь, где я.
[2900.04s -> 2909.59s]  Обнажь ты всё, что я дам.
[2909.59s -> 2916.59s]  Пусти себя в тебя.
[2916.59s -> 2930.59s]  Я надеюсь, что когда-то ты узнаешь, где я.
[2930.59s -> 2947.09s]  И обнажь ты всё, что я дам.
[2969.81s -> 2973.81s]  Пусти себя в тебя.
[2973.81s -> 2983.81s]  Я надеюсь, ты узнаешь, где я.
[2983.81s -> 2987.81s]  И обнажь ты всё, что я дам.
[2987.81s -> 2995.81s]  Я надеюсь, ты узнаешь, где я.
[2995.81s -> 3003.81s]  Для меня это очень важно выяснить какие-то вещи для того, чтобы потом не огрести на улице просто.
[3003.81s -> 3011.81s]  Поэтому спасибо вам большое. Это была «Артмеханика». Я, как всегда, закончу новыми стишками.
[3011.81s -> 3017.81s]  Но попрошу поучаствовать в наших музыкантов, если сможете.
[3017.81s -> 3020.81s]  Такой вот, может быть, ритмической поддержкой.
[3020.81s -> 3024.50s]  Спасибо большое.
[3024.50s -> 3034.51s]  Ты играй, я подберу слова с пола.
[3034.51s -> 3037.51s]  Эти первые шесть-семь строк энрола.
[3037.51s -> 3039.51s]  В мандариновой гитара крови.
[3039.51s -> 3042.51s]  Слава богу, это лишь О-Р-Ви.
[3042.51s -> 3045.51s]  У зимы всегда февраль под руками.
[3045.51s -> 3048.51s]  Мы с тобой у белых нот оригами.
[3048.51s -> 3050.51s]  До рэми у нас, пойди отними.
[3050.51s -> 3053.51s]  Мы исполним соль-а-соль, как ремикс.
[3053.51s -> 3056.51s]  Вот мы в пробке, посредине тишинки.
[3056.51s -> 3059.51s]  Снег болтается в стиральной машинке.
[3059.51s -> 3062.51s]  И луна висит, раздетая с дуру.
[3062.51s -> 3065.51s]  Или это не луна, а скульптура.
[3065.51s -> 3068.51s]  Ночь наделает из нас опликаций.
[3068.51s -> 3071.51s]  Можно смело на весну отвлекаться.
[3071.51s -> 3074.51s]  Превратится мандарин в эпироль.
[3074.51s -> 3077.51s]  Не одну сыграем мы рок-н-роль.
[3077.51s -> 3080.51s]  И не холодно стоять в таком виде,
[3080.51s -> 3083.51s]  Пока лепит тебя скульптор на даче.
[3083.51s -> 3086.51s]  Хорошо, что это музыка инди.
[3086.51s -> 3089.51s]  Как-то легче с ней.
[3089.51s -> 3092.51s]  Чеплее. Прозрачней.
[3092.51s -> 3095.51s]  Спасибо.
[3095.51s -> 3098.51s]  Арпеханика. Спасибо.
[3202.46s -> 3235.38s]  Редактор субтитров А.Синецкая
[3235.38s -> 3243.34s]  Корректор А.Кулакова
