[3.76s -> 5.08s]  Она лысая, *****!
[1978.41s -> 1980.41s]  но пришли в итоге к тому, что
[1980.41s -> 1982.41s]  для развития нужно вкладываться
[1982.41s -> 1984.41s]  сколько времени у тебя каждый день
[1984.41s -> 1986.41s]  уходит на работу со странички
[1986.41s -> 1988.41s]  как ты распределяешь свой день
[1988.41s -> 1990.41s]  вообще классный вопрос
[1990.41s -> 1992.41s]  потому что раньше это было
[1992.41s -> 1994.41s]  24 часа и я не могла понять
[1994.41s -> 1996.41s]  что я делаю, что все 24 часа туда грохлю
[1996.41s -> 1998.41s]  сейчас я понимаю, что мне
[1998.41s -> 2000.41s]  просто нужно было оптимизировать время
[2000.41s -> 2002.41s]  для того, чтобы себе выделить на выкладывание
[2002.41s -> 2004.41s]  сторис, на их съемку, на обработку
[2004.41s -> 2006.41s]  на то, чтобы сделать пост, на то, чтобы разобрать
[2006.41s -> 2008.41s]  все рабочие моменты, с всеми договориться
[2008.41s -> 2010.41s]  переговориться
[2010.41s -> 2012.41s]  получается, да
[2012.41s -> 2014.41s]  блог это моя жизнь безостановочная
[2014.41s -> 2016.41s]  я ложу спать, перед этим
[2016.41s -> 2018.41s]  я загружу сторис
[2018.41s -> 2020.41s]  постоянно работает голова
[2020.41s -> 2022.41s]  это на автомате многое
[2022.41s -> 2024.41s]  происходит уже
[2024.41s -> 2026.41s]  я не назову это сложным, но
[2026.41s -> 2028.41s]  потому что мне это нравится
[2028.41s -> 2030.41s]  это гивы?
[2030.41s -> 2032.41s]  да, гивы, реклама
[2032.41s -> 2034.41s]  какие-нибудь интересные проектики
[2034.41s -> 2036.41s]  то есть ты рекламу в своем блоге тоже покупала
[2036.41s -> 2038.41s]  сейчас не покупай
[2038.41s -> 2040.41s]  у меня все то же самое
[2040.41s -> 2042.41s]  я просыпаюсь телефоном, засыпаю как Давид
[2042.41s -> 2044.41s]  с моим сторис
[2044.41s -> 2046.41s]  я засыпаюсь книгой его отверженной
[2046.41s -> 2048.41s]  не надо
[2048.41s -> 2050.41s]  а у тебя еще двое детей
[2050.41s -> 2052.41s]  когда умудряешься
[2052.41s -> 2054.41s]  хотя дети это контент
[2054.41s -> 2056.41s]  когда у меня закончится идея, я рожу ребенка
[2056.41s -> 2058.41s]  первоначально это что, контент?
[2058.41s -> 2060.41s]  нет, первоначально это ребенок
[2060.41s -> 2062.41s]  твой любимый
[2062.41s -> 2064.41s]  понятно, как ты собрался
[2064.41s -> 2066.41s]  у меня новый рекламный сегмент подгузников
[2066.41s -> 2068.41s]  ты сейчас на камеру снимай
[2068.41s -> 2070.41s]  будут тебе подгузники
[2070.41s -> 2072.41s]  а потом школа по бартуру хорошая
[2072.41s -> 2074.41s]  да, мир жесток
[2074.41s -> 2076.41s]  возможно ли существовать на органическом приросте?
[2076.41s -> 2078.41s]  отлично
[2078.41s -> 2080.41s]  это возможно
[2080.41s -> 2082.41s]  смотрите
[2082.41s -> 2084.41s]  не все решает масштаб блога
[2084.41s -> 2086.41s]  есть сейчас небольшие блоги
[2086.41s -> 2088.41s]  но они делают запуски своих продуктов
[2088.41s -> 2090.41s]  на офигенные цифры
[2090.41s -> 2092.41s]  они дают реально классный экспертный контент
[2092.41s -> 2094.41s]  и у них есть немного людей
[2094.41s -> 2096.41s]  сейчас можно на охватах 200 человек
[2096.41s -> 2098.41s]  не 200 тысяч, а 200 человек сделать 200 тысяч рублей
[2098.41s -> 2100.41s]  для них это супер вал
[2100.41s -> 2102.41s]  для них это все, счастливая жизнь
[2102.41s -> 2104.41s]  мне хотелось быть масштабной
[2104.41s -> 2106.41s]  мне хотелось чтобы мы знали
[2106.41s -> 2108.41s]  мне хотелось чтобы Вика со мной сидела
[2108.41s -> 2110.41s]  Боня задавала мне вопросы
[2110.41s -> 2112.41s]  я занималась бровками
[2112.41s -> 2114.41s]  делала девочкам бровки
[2114.41s -> 2116.41s]  потом училась на мастера по перманенту
[2116.41s -> 2118.41s]  стал делать перманент
[2118.41s -> 2120.41s]  он стоил дороже, деньги я зарабатывала больше
[2120.41s -> 2122.41s]  когда я с таким животом
[2122.41s -> 2124.41s]  первой беременности
[2124.41s -> 2126.41s]  дорабатывала бровистом
[2126.41s -> 2128.41s]  я понимала, все, я ухожу в декрет
[2128.41s -> 2130.41s]  у меня своих денег не будет
[2130.41s -> 2132.41s]  я забрала свои 112 тысяч
[2132.41s -> 2134.41s]  как тогда последний зарплату
[2134.41s -> 2136.41s]  всем нужны брови
[2136.41s -> 2138.41s]  и все, я сажусь в декрет
[2138.41s -> 2140.41s]  понимаю, что мне на трусишке придется просить
[2140.41s -> 2142.41s]  у мужа получается
[2142.41s -> 2144.41s]  а у меня как бы программы заложены
[2144.41s -> 2146.41s]  нет, у меня программа заложена реализация
[2146.41s -> 2148.41s]  что я так не могу
[2148.41s -> 2150.41s]  прошло буквально несколько месяцев
[2150.41s -> 2152.41s]  когда у меня родился Родион
[2152.41s -> 2154.41s]  я с ним повозилась
[2154.41s -> 2156.41s]  я уже начинала тогда вести блог
[2156.41s -> 2158.41s]  он был не особо монетизирован
[2158.41s -> 2160.41s]  нам начали предлагать
[2160.41s -> 2162.41s]  московские блогеры рубили
[2162.41s -> 2164.41s]  мы тогда делали бабло за рекламу
[2164.41s -> 2166.41s]  делали, по сути, бравое дело
[2166.41s -> 2168.41s]  распространяли хороший продукт
[2168.41s -> 2170.41s]  ты была блогером известным
[2170.41s -> 2172.41s]  но жила все равно не в Москве
[2172.41s -> 2174.41s]  я до 4 миллионов выросла в Иванове живя
[2174.41s -> 2176.41s]  я переехала в Москву 2 года назад
[2176.41s -> 2178.41s]  с 4 миллионами
[2178.41s -> 2180.41s]  сейчас у меня уже 9 с лишним
[2180.41s -> 2182.41s]  и я стала зарабатывать денежки на рекламу
[2182.41s -> 2184.41s]  моя первая реклама в Story стоила 300 рублей
[2184.41s -> 2186.41s]  я не знала сколько надо ставить
[2186.41s -> 2188.41s]  мне потом московские блогеры говорят
[2188.41s -> 2190.41s]  300 тысяч рублей
[2190.41s -> 2192.41s]  мы начинаем с 5 тысяч
[2192.41s -> 2194.41s]  300 рублей
[2194.41s -> 2196.41s]  я вдруг начала зарабатывать
[2196.41s -> 2198.41s]  100 тысяч рублей с рекламой
[2198.41s -> 2200.41s]  через какое-то время
[2200.41s -> 2202.41s]  и мне предлагают гиф
[2202.41s -> 2204.41s]  я нахожу этих организаторов
[2204.41s -> 2206.41s]  меня на деньги кидали
[2206.41s -> 2208.41s]  я заплатила, 60 тысяч меня кинули
[2208.41s -> 2210.41s]  в итоге я вкладываю в гиф
[2210.41s -> 2212.41s]  который реально крутой
[2212.41s -> 2214.41s]  там его проводил на гиф
[2214.41s -> 2216.41s]  он назывался голливудский гиф
[2216.41s -> 2218.41s]  и в итоге мне приходит аудитория
[2218.41s -> 2220.41s]  у меня тогда своих органических
[2220.41s -> 2222.41s]  было 1100
[2222.41s -> 2224.41s]  маленькую девочку начинают замечать
[2224.41s -> 2226.41s]  это было приятно
[2226.41s -> 2228.41s]  минус гифов
[2228.41s -> 2230.41s]  они пришли 90 тысяч
[2230.41s -> 2232.41s]  а минус гифов
[2232.41s -> 2234.41s]  это для тех, кто не умеет удержать аудиторию
[2234.41s -> 2236.41s]  почему заклеймели гифы
[2236.41s -> 2238.41s]  что это не рабочий способ продвижения
[2238.41s -> 2240.41s]  я живой доказательством тому
[2240.41s -> 2242.41s]  что можно ходить в гифы
[2242.41s -> 2244.41s]  ты не согласна с тем, что гифы
[2244.41s -> 2246.41s]  это наркотическое глаз
[2246.41s -> 2248.41s]  с этим согласна
[2250.41s -> 2252.41s]  я живой пример
[2252.41s -> 2254.41s]  аудитория которая приходит
[2254.41s -> 2256.41s]  она тебя не знает, ее можно с собой заинтересовать
[2256.41s -> 2258.41s]  но у тебя не получится
[2258.41s -> 2260.41s]  если ты будешь говорить
[2260.41s -> 2262.41s]  привет, оставайтесь меня
[2262.41s -> 2264.41s]  если они увидят, что у тебя реальная движуха
[2264.41s -> 2266.41s]  нет ценностей для них никакой
[2268.41s -> 2270.41s]  пишет Вика
[2270.41s -> 2272.41s]  про твои марафоны
[2272.41s -> 2274.41s]  на курс набрали около 200 человек
[2274.41s -> 2276.41s]  разделили группы по 40 человек
[2276.41s -> 2278.41s]  создав чат телеграм
[2278.41s -> 2280.41s]  прикрепили каждому по 3 куратора
[2280.41s -> 2282.41s]  которые сами с трудом
[2282.41s -> 2284.41s]  еле понимали материал
[2284.41s -> 2286.41s]  отвечали на вопросы размыто
[2286.41s -> 2288.41s]  на курсе было 3 тарифа
[2288.41s -> 2290.41s]  43 тысячи 1 стоил 110 и 1,5 миллиона рублей
[2290.41s -> 2292.41s]  многие купили его в рассрочку на год
[2292.41s -> 2294.41s]  и начинают тебя хейтить
[2294.41s -> 2296.41s]  каким образом
[2296.41s -> 2298.41s]  все ложово
[2298.41s -> 2300.41s]  то, что ты создала
[2300.41s -> 2302.41s]  на эту сумму не соответствовало качеству того
[2302.41s -> 2304.41s]  что люди ожидали
[2304.41s -> 2306.41s]  и, соответственно, спрашивают
[2306.41s -> 2308.41s]  каково тебе спится спокойно
[2308.41s -> 2310.41s]  когда ты купила несколько квартир
[2310.41s -> 2312.41s]  но при этом то, что ты создала
[2312.41s -> 2314.41s]  а люди в рассрочку брали
[2314.41s -> 2316.41s]  это про курс по продюсированию
[2316.41s -> 2318.41s]  в чем суть
[2318.41s -> 2320.41s]  в том, что у людей возмущение
[2320.41s -> 2322.41s]  от того, что они проходят
[2322.41s -> 2324.41s]  он им кажется слишком сложным
[2324.41s -> 2326.41s]  и они думают, как бы оттуда слиться
[2326.41s -> 2328.41s]  хотя я говорила, чтобы заработать
[2328.41s -> 2330.41s]  хорошие деньги в этой профессии
[2330.41s -> 2332.41s]  продюсирование сейчас это просто очень крутая тема
[2332.41s -> 2334.41s]  нужно будет работать
[2334.41s -> 2336.41s]  нужно будет брать на себя смелость
[2336.41s -> 2338.41s]  ответственность ты идешь работать
[2338.41s -> 2340.41s]  идешь к Вике Боне и говоришь
[2340.41s -> 2342.41s]  Вика, давай запустим с тобой курс
[2342.41s -> 2344.41s]  вот у меня есть такая идея
[2344.41s -> 2346.41s]  ты приходишь с готовой презентацией
[2346.41s -> 2348.41s]  тогда Вике еще как-то надо достучаться
[2348.41s -> 2350.41s]  для этого должно быть большое понимание
[2350.41s -> 2352.41s]  вообще куда ты идешь
[2352.41s -> 2354.41s]  заявление в полицию писали по какому тарифу
[2354.41s -> 2356.41s]  который 110
[2356.41s -> 2358.41s]  и я вам скажу
[2358.41s -> 2360.41s]  вот именно то, что мошенничество
[2360.41s -> 2362.41s]  по факту, то есть у них было заявление
[2362.41s -> 2364.41s]  что мы не выполнили свои
[2364.41s -> 2366.41s]  свои обязательства
[2366.41s -> 2368.41s]  а мы закрыли все обязательства и я вам скажу
[2368.41s -> 2370.41s]  что суд состоялся и они его проиграли
[2370.41s -> 2372.41s]  спасибо, что пришла, мы желаем тебе выиграть
[2372.41s -> 2374.41s]  чтобы судов твоей жизни было
[2374.41s -> 2376.41s]  не было, а если бы были
[2376.41s -> 2378.41s]  то бы все выигрывали
[2378.41s -> 2380.41s]  это были злые языки, увидимся совсем скоро
[2380.41s -> 2382.41s]  пока-пока
